<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TATN,60,20151029,110000,340.5000000,343.6000000,340.1000000,341.6500000,98850
TATN,60,20151029,120000,341.7000000,341.7000000,336.0500000,336.2500000,190760
TATN,60,20151029,130000,336.3000000,337.5000000,334.1500000,335.3000000,176850
TATN,60,20151029,140000,335.3500000,336.6500000,334.5000000,335.4500000,108440
TATN,60,20151029,150000,335.4500000,335.6000000,333.5000000,335.2500000,142250
TATN,60,20151029,160000,335.1000000,336.1500000,333.6500000,335.8500000,89500
TATN,60,20151029,170000,336.1000000,337.0000000,333.7500000,334.5500000,150960
TATN,60,20151029,180000,334.1000000,335.5500000,333.1000000,334.2500000,151880
TATN,60,20151029,190000,334.1000000,336.5000000,333.8500000,334.9500000,150130
TATN,60,20151030,110000,334.2000000,335.6500000,333.5500000,334.0500000,49140
TATN,60,20151030,120000,333.8500000,334.9500000,332.6500000,333.3000000,89110
TATN,60,20151030,130000,333.1000000,336.9500000,332.5500000,336.9500000,105400
TATN,60,20151030,140000,336.9500000,337.8500000,334.0000000,334.6000000,82170
TATN,60,20151030,150000,334.8000000,335.6500000,334.1000000,335.2500000,63430
TATN,60,20151030,160000,335.2000000,336.7500000,334.0000000,335.1000000,119230
TATN,60,20151030,170000,335.1000000,335.7000000,330.5500000,330.9000000,274260
TATN,60,20151030,180000,330.9000000,332.0000000,330.0500000,330.3000000,161380
TATN,60,20151030,190000,330.3500000,331.2000000,328.0500000,328.8000000,488400
TATN,60,20151102,110000,328.6000000,330.2500000,327.0000000,328.4000000,99770
TATN,60,20151102,120000,328.4500000,331.8500000,328.4000000,331.8500000,81870
TATN,60,20151102,130000,331.8500000,331.9500000,329.0000000,329.2500000,64380
TATN,60,20151102,140000,329.3500000,331.5500000,329.2500000,330.9000000,49790
TATN,60,20151102,150000,330.8000000,332.0000000,330.2000000,331.0000000,90350
TATN,60,20151102,160000,331.0000000,331.7500000,329.4500000,331.2500000,42060
TATN,60,20151102,170000,331.1000000,331.9000000,329.8500000,331.4000000,42120
TATN,60,20151102,180000,331.1000000,333.3500000,329.9500000,333.3500000,103300
TATN,60,20151102,190000,333.3500000,336.2000000,332.9000000,336.2000000,336010
TATN,60,20151103,110000,335.1500000,337.9000000,334.0000000,337.0000000,75550
TATN,60,20151103,120000,337.3500000,337.5000000,334.1500000,334.5500000,57120
TATN,60,20151103,130000,334.3500000,338.6000000,334.0500000,338.2500000,98110
TATN,60,20151103,140000,338.2000000,341.9000000,337.5500000,341.8000000,427900
TATN,60,20151103,150000,341.7500000,345.3500000,341.6000000,343.8500000,289950
TATN,60,20151103,160000,343.9000000,344.6000000,342.5000000,342.9000000,88760
TATN,60,20151103,170000,342.8500000,345.0000000,342.5000000,344.9500000,90420
TATN,60,20151103,180000,345.0000000,345.8000000,342.1000000,342.7500000,174570
TATN,60,20151103,190000,342.8500000,344.5000000,342.5000000,344.2000000,167700
TATN,60,20151105,110000,343.2000000,348.4500000,343.1500000,346.9500000,211080
TATN,60,20151105,120000,346.9500000,348.0000000,345.2500000,346.6000000,157740
TATN,60,20151105,130000,346.6000000,347.0500000,342.0500000,344.9000000,259500
TATN,60,20151105,140000,344.9000000,345.2500000,343.4000000,343.5000000,95460
TATN,60,20151105,150000,343.5000000,344.7500000,343.4000000,343.6500000,58900
TATN,60,20151105,160000,343.7500000,344.7000000,342.8500000,343.6500000,105810
TATN,60,20151105,170000,343.6500000,344.7500000,342.0000000,343.2000000,87930
TATN,60,20151105,180000,343.2000000,343.2500000,340.9000000,342.5000000,120390
TATN,60,20151105,190000,342.5000000,346.0000000,340.1000000,346.0000000,385790
TATN,60,20151106,110000,346.7000000,347.4500000,344.9000000,345.3500000,122330
TATN,60,20151106,120000,345.3000000,349.1500000,344.6000000,349.0000000,293950
TATN,60,20151106,130000,349.0500000,349.5000000,348.0000000,348.7500000,107980
TATN,60,20151106,140000,348.7000000,349.5000000,347.7500000,349.2000000,87820
TATN,60,20151125,120000,345.7000000,345.9500000,344.5500000,344.9000000,29080
TATN,60,20151125,130000,344.8500000,345.9000000,343.3500000,344.8000000,68510
TATN,60,20151125,140000,344.9000000,346.1000000,344.1000000,345.6500000,80360
TATN,60,20151125,150000,345.6000000,347.7000000,344.7000000,347.3500000,63820
TATN,60,20151125,160000,347.4500000,348.8000000,345.0000000,348.0000000,159300
TATN,60,20151125,170000,348.0000000,351.0000000,347.1000000,348.1000000,185630
TATN,60,20151125,180000,347.6500000,349.4000000,345.0000000,347.3000000,157270
TATN,60,20151125,190000,346.7500000,348.6000000,344.4000000,345.9000000,347560
TATN,60,20151126,110000,346.1000000,347.6000000,344.7000000,345.9000000,73170
TATN,60,20151126,120000,346.0500000,348.0000000,345.6000000,347.2000000,43610
TATN,60,20151126,130000,347.1500000,347.5500000,345.9500000,346.4000000,34050
TATN,60,20151126,140000,346.4000000,348.2000000,345.7000000,347.9500000,136680
TATN,60,20151126,150000,348.0000000,348.4500000,347.3500000,348.2000000,75980
TATN,60,20151126,160000,347.7500000,347.8000000,347.0000000,347.5000000,98070
TATN,60,20151126,170000,347.5500000,347.8000000,347.0000000,347.2000000,69030
TATN,60,20151126,180000,347.2000000,347.5500000,342.4000000,343.0500000,341970
TATN,60,20151126,190000,343.1000000,344.9500000,342.0500000,344.3000000,139310
